country,country_code,market,suburb,host_neighbourhood,street,government_area,_id,name,house_rules,room_type,price,property_type,bedrooms,beds,bed_type,bathrooms,accommodates,extra_people,guests_included,amenities,latitude,longitude,is_location_exact,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,cancellation_policy,cleaning_fee,review_scores,host_id,host_name,host_location,number_of_reviews,host_listings_count,host_total_listings_count,host_response_time,host_response_rate,host_is_superhost,host_identity_verified
Turkey,TR,Istanbul,Moda,Moda,"KadÄ±kÃ¶y, Ä°stanbul, Turkey",Kadikoy,10047964,Charming Flat in Downtown Moda,"Be and feel like your own home, with total respect and love..this would be wonderful!",Entire home/apt,527,House,2,6,Real Bed,1,6,211,1,"24-hour check-in', 'Cable TV', 'Cat(s)', 'Essentials', 'Family/kid friendly', 'Free parking on premises', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Pets allowed', 'Pets live on this property', 'Shampoo', 'TV', 'Washer', 'Wifi'",40.98585,29.03133,Yes,2,1125,27,57,87,362,flexible,211,100,1241644,Zeynep,"Istanbul, Istanbul, Turkey",1,2,2,Not Specified,Not Specified,No,Yes
Turkey,TR,Istanbul,Beyoglu,Taksim,"BeyoÄŸlu, Ä°stanbul, Turkey",Beyoglu,10092679,Cozy house at BeyoÄŸlu,no rules,Private room,58,Apartment,1,1,Pull-out Sofa,1,2,60,1,"Bed linens', 'Breakfast', 'Cat(s)', 'Coffee maker', 'Cooking basics', 'Dishwasher', 'Essentials', 'Extra pillows and blankets', 'Free street parking', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Hot water', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Lock on bedroom door', 'Luggage dropoff allowed', 'Patio or balcony', 'Pets live on this property', 'Refrigerator', 'Shampoo', 'Smoking allowed', 'Washer', 'Wifi'",41.03777,28.95825,No,2,1125,3,19,37,37,flexible,0,99,21331922,Ali,Ä°stanbul,27,8,8,within an hour,100,Yes,Yes
Turkey,TR,Istanbul,ÅžiÅŸli,ÅžiÅŸli,"ÅžiÅŸli, Ä°stanbul, Turkey",Sisli,10115921,GOLF ROYAL RESÄ°DENCE TAXÄ°M(1+1):3,no rules,Entire home/apt,838,Serviced apartment,2,4,Real Bed,1,4,0,1,"24-hour check-in', 'Air conditioning', 'Building staff', 'Buzzer/wireless intercom', 'Cable TV', 'Carbon monoxide detector', 'Crib', 'Doorman', 'Dryer', 'Elevator', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'First aid kit', 'Hair dryer', 'Hangers', 'Heating', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Luggage dropoff allowed', 'Paid parking off premises', 'Safety card', 'Self check-in', 'Shampoo', 'Smoke detector', 'Smoking allowed', 'Suitable for events', 'TV', 'Wheelchair accessible', 'Wifi'",41.04841,28.98713,No,1,1125,30,60,90,365,strict_14_with_grace_period,0,67,51471538,Ahmet,"Istanbul, Ä°stanbul, Turkey",3,16,16,within an hour,100,No,No
Turkey,TR,Istanbul,ÅžiÅŸli,ÅžiÅŸli,"ÅžiÅŸli, Ä°stanbul, Turkey",Sisli,10116256,GOLF ROYAL RESIDENCE SUÄ°TES(2+1)-2,no rules,Entire home/apt,997,Serviced apartment,2,5,Real Bed,2,6,0,1,"24-hour check-in', 'Air conditioning', 'Building staff', 'Buzzer/wireless intercom', 'Carbon monoxide detector', 'Doorman', 'Dryer', 'Elevator', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'Hair dryer', 'Hangers', 'Heating', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Luggage dropoff allowed', 'Paid parking off premises', 'Self check-in', 'Shampoo', 'Smoke detector', 'Smoking allowed', 'Suitable for events', 'TV', 'Washer', 'Wheelchair accessible', 'Wifi'",41.04772,28.98818,No,1,1125,30,60,90,365,moderate,0,0,51471538,Ahmet,"Istanbul, Ä°stanbul, Turkey",0,16,16,within an hour,100,No,No
Turkey,TR,Istanbul,Fatih,Not Specified,"Fatih , Ä°stanbul, Turkey",Fatih,10133554,Double and triple rooms Blue mosque,no rules,Private room,121,Bed and breakfast,1,2,Real Bed,1,3,0,1,"Air conditioning', 'Building staff', 'Dryer', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'Free parking on premises', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Shampoo', 'Smoking allowed', 'Suitable for events', 'Washer', 'Wifi'",41.0062,28.98009,No,1,1125,30,60,90,365,moderate,0,92,52004703,Mehmet Emin,"Istanbul, Ä°stanbul, Turkey",29,2,2,within a few hours,100,No,Yes
Turkey,TR,Istanbul,Not Specified,Not Specified,"Istanbul, Ä°stanbul, Turkey",Sariyer,10186755,Roof double bed private room,no rules,Private room,185,Loft,1,2,Real Bed,1,2,0,1,"24-hour check-in', 'Air conditioning', 'Doorman', 'Elevator', 'Essentials', 'Family/kid friendly', 'Hair dryer', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'TV', 'Washer', 'Wifi'",41.12452,29.03693,No,1,1125,30,60,90,365,flexible,0,0,52316085,Mustafa,"Istanbul, Ä°stanbul, Turkey",0,1,1,Not Specified,Not Specified,No,No
Turkey,TR,Istanbul,Not Specified,Not Specified,"Zeytinburnu, Ä°stanbul, Turkey",Zeytinburnu,10199760,Uygun nezih daire,no rules,Entire home/apt,264,Apartment,1,2,Real Bed,1,4,53,1,"Carbon monoxide detector', 'Dryer', 'Family/kid friendly', 'Fire extinguisher', 'First aid kit', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Shampoo', 'Smoke detector', 'TV', 'Washer', 'Wifi'",40.99667,28.89964,No,1,1125,30,60,90,365,flexible,26,0,37417314,YaÅŸar,"Istanbul, Turkey",0,1,1,within a day,100,No,No
Turkey,TR,Istanbul,KadÄ±kÃ¶y,Not Specified,"ÅžiÅŸli, Ä°stanbul, Turkey",Kadikoy,10354347,Room For Erasmus,no rules,Private room,37,Apartment,2,2,Real Bed,1,2,0,1,"24-hour check-in', 'Cable TV', 'Doorman', 'Dryer', 'Elevator', 'Essentials', 'Family/kid friendly', 'Free parking on premises', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Private living room', 'Smoking allowed', 'Suitable for events', 'TV', 'Washer', 'Wifi'",40.98837,29.06064,No,1,1125,30,60,90,365,flexible,0,0,53288729,Kemal,TR,1,1,1,within a day,100,No,No
Turkey,TR,Istanbul,BeÅŸiktaÅŸ,Not Specified,"Istanbul, Ä°stanbul, Turkey",Sariyer,10359729,#REF!,no rules,Private room,105,Apartment,1,2,Real Bed,1,4,0,1,"24-hour check-in', 'Doorman', 'Essentials', 'First aid kit', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Lock on bedroom door', 'Shampoo', 'Smoking allowed', 'Washer', 'Wifi'",41.08835,29.05108,No,1,1125,0,0,0,0,flexible,0,0,53319251,Seda,TR,0,1,1,Not Specified,Not Specified,No,No
Turkey,TR,Istanbul,Cihangir,Cihangir,"Istanbul, Istanbul Province, Turkey",Beyoglu,1038163,luxury apartment in istanbul taxsim,no rules,Entire home/apt,269,Apartment,1,3,Real Bed,1,4,42,3,"Air conditioning', 'Cable TV', 'Doorman', 'Elevator', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'Heating', 'Internet', 'Kitchen', 'Shampoo', 'Wifi'",41.03326,28.98538,Yes,2,1125,17,36,55,317,strict_14_with_grace_period,60,91,5386341,Osman,"Istanbul, Turkey",135,10,10,within an hour,100,No,Yes
Turkey,TR,Istanbul,Beyoglu,Not Specified,"BeyoÄŸlu, Ä°stanbul, Turkey",Beyoglu,10486984,Cheerful new renovated central apt,â€¢ Please lock the doors and close the windows when you leave the flat. â€¢ Please donÂ´t change the heat controller settings. â€¢ Please be respectful to the neighbors regarding noise levels. â€¢ If you are a smoker please smoke by the window  or at the balcony Welcome to your home!,Entire home/apt,264,Apartment,3,4,Real Bed,1,8,36,4,"24-hour check-in', 'Air conditioning', 'Bed linens', 'Cable TV', 'Crib', 'Essentials', 'Extra pillows and blankets', 'Family/kid friendly', 'Fire extinguisher', 'First aid kit', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Paid parking off premises', 'Shampoo', 'Step-free access', 'Suitable for events', 'TV', 'Washer', 'Wifi'",41.03735,28.97477,No,3,1125,18,29,51,326,moderate,0,94,22766460,Aybike,"Istanbul, Ä°stanbul, Turkey",77,1,1,within an hour,100,No,Yes
Turkey,TR,Istanbul,BeÅŸiktaÅŸ,OrtakÃ¶y,"BeÅŸiktaÅŸ, Ä°stanbul, Turkey",Besiktas,10488837,Cozy House in OrtakÃ¶y,no rules,Private room,100,Apartment,1,2,Real Bed,1,2,0,1,"24-hour check-in', 'Essentials', 'Family/kid friendly', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Shampoo', 'Smoking allowed', 'Washer', 'Wifi'",41.05197,29.02519,Yes,1,1125,30,60,90,365,flexible,100,0,53849209,Orcun,TR,0,1,1,Not Specified,Not Specified,No,No
Turkey,TR,Istanbul,Beyoglu,Cihangir,"Taksim, Cihangir, Istanbul , BeyoÄŸlu, Turkey",Beyoglu,1058555,Nice Cosy Room In Taksim,no rules,Private room,105,Apartment,1,1,Real Bed,1,2,60,1,"Air conditioning', 'Cable TV', 'Essentials', 'Heating', 'Internet', 'Kitchen', 'Shampoo', 'TV', 'Washer', 'Wifi'",41.03376,28.98648,Yes,3,1125,23,44,74,336,strict_14_with_grace_period,60,96,5823933,Nihat,Istanbul,31,2,2,within an hour,100,Yes,No
Turkey,TR,Istanbul,KadÄ±kÃ¶y,Moda,"KadÄ±kÃ¶y, Ä°stanbul, Turkey",Kadikoy,10639317,"KadikÃ¶y, Moda, close to transports",no rules,Private room,137,Apartment,1,1,Real Bed,1,2,0,1,"24-hour check-in', 'Buzzer/wireless intercom', 'Essentials', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Kitchen', 'Shampoo', 'Smoking allowed', 'Washer', 'Wifi'",40.98825,29.02588,Yes,1,1125,0,0,0,0,flexible,0,0,25679882,Bertille,FR,0,1,1,Not Specified,Not Specified,No,No
Turkey,TR,Istanbul,Beyoglu,Cihangir,"Istanbul, Istanbul Province, Turkey",Beyoglu,1074008,Designer's Historical Apartment,- No smoking allowed in the bedroom. - Please keep the main entrance of the building locked after 10pm and be sure that the door is closed at all times.,Entire home/apt,385,Apartment,1,1,Real Bed,1,2,0,2,"Breakfast', 'Essentials', 'First aid kit', 'Free parking on premises', 'Heating', 'Internet', 'Kitchen', 'Shampoo', 'Washer', 'Wifi'",41.03406,28.97994,No,2,1125,30,60,90,365,strict_14_with_grace_period,298,97,5908273,Pia,"Santa Barbara, California, United States",17,2,2,within a few hours,100,No,Yes
Turkey,TR,Istanbul,ÅžiÅŸli,Not Specified,"ÅžiÅŸli, Ä°stanbul, Turkey",Sisli,10742116,"NiÅŸantaÅŸÄ±, safe, quality area.Very close to metro.",no rules,Entire home/apt,417,Apartment,1,2,Real Bed,1,4,0,1,"Air conditioning', 'Bed linens', 'Cable TV', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Dryer', 'Elevator', 'Essentials', 'Extra pillows and blankets', 'Family/kid friendly', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Hot water', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Luggage dropoff allowed', 'Pets allowed', 'Pocket wifi', 'Refrigerator', 'TV', 'Washer', 'Wheelchair accessible', 'Wifi'",41.05261,28.99363,No,5,1125,10,10,22,297,strict_14_with_grace_period,237,83,19354362,Enis,"Istanbul, Istanbul, Turkey",6,7,7,within a few hours,100,No,No
Turkey,TR,Istanbul,Fatih,Fatih,"Istanbul, Istanbul, Turkey",Fatih,1077686,BALAT,no rules,Private room,685,House,1,0,Real Bed,0,3,0,1,',41.03301,28.94457,Yes,1,1125,30,60,90,365,flexible,0,0,5929670,Hanife,"Istanbul, Turkey",0,1,1,Not Specified,Not Specified,No,No
Turkey,TR,Istanbul,Taksim,Taksim,"BeyoÄŸlu, Ä°stanbul, Turkey",Beyoglu,10782351,City View Apartment,"if you stay with us...  Will try to make you comfort. In this city we want to spend extra effort for your comfort. (information and etc) Our aim is to be your home in Istanbul. Because we give many things for help.  (All is free)    *Transportation card. *Telephone SIM card. *We will give you the main informations about the city in English. *We will give you City map. *Baby strolle. *The Residence, within walking distance in all transportation.",Entire home/apt,211,Serviced apartment,1,2,Real Bed,1,3,89,1,"24-hour check-in', 'Air conditioning', 'Building staff', 'Buzzer/wireless intercom', 'Doorman', 'Elevator', 'Essentials', 'Family/kid friendly', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Self check-in', 'Shampoo', 'Smoking allowed', 'TV', 'Washer', 'Wifi'",41.03445,28.98789,Yes,1,1125,8,38,68,343,moderate,0,80,3938375,Orhan,"Istanbul, Ä°stanbul, Turkey",1,6,6,within a few hours,100,No,No
Turkey,TR,Istanbul,ÃœskÃ¼dar,Not Specified,"ÃœskÃ¼dar, Ä°stanbul, Turkey",Uskudar,10819035,Comfort Room in Istanbul,no rules,Private room,53,Apartment,1,1,Real Bed,1,1,0,1,"24-hour check-in', 'Breakfast', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'First aid kit', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Laptop friendly workspace', 'Shampoo', 'Smoking allowed', 'TV', 'Washer', 'Wifi'",41.01499,29.08565,No,1,1125,30,60,90,365,flexible,26,0,4812766,Erhan,"Istanbul, Turkey",0,1,1,Not Specified,Not Specified,No,Yes
Turkey,TR,Istanbul,Not Specified,Not Specified,"bÃ¼yÃ¼kada, Ä°stanbul, Turkey",Adalar,10985735,enjoy nature in Istanbul,no rules,Entire home/apt,359,House,2,2,Real Bed,1,4,60,2,"Essentials', 'Family/kid friendly', 'Heating', 'Indoor fireplace', 'Internet', 'Kitchen', 'Pets allowed', 'Shampoo', 'Smoking allowed', 'TV', 'Washer', 'Wifi'",40.862,29.11608,No,2,1125,0,0,0,0,flexible,0,94,56998832,Sanem,"Istanbul, Ä°stanbul, Turkey",15,1,1,Not Specified,Not Specified,No,Yes
Turkey,TR,Istanbul,KadÄ±kÃ¶y,Not Specified,"KadÄ±kÃ¶y, Ä°stanbul, Turkey",Kadikoy,11007542,Spacious room KadÄ±kÃ¶y YeldeÄŸirmeni,no rules,Private room,47,Apartment,1,1,Real Bed,1,1,0,1,"24-hour check-in', 'Bed linens', 'Buzzer/wireless intercom', 'Cat(s)', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Essentials', 'Ethernet connection', 'Free street parking', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Lock on bedroom door', 'Oven', 'Paid parking off premises', 'Patio or balcony', 'Pets live on this property', 'Pocket wifi', 'Refrigerator', 'Shampoo', 'Smoking allowed', 'TV', 'Washer', 'Wifi'",40.99459,29.03075,No,7,1125,29,59,89,364,strict_14_with_grace_period,0,100,22677216,Onur,"Istanbul, Ä°stanbul, Turkey",1,1,1,Not Specified,Not Specified,No,No
Turkey,TR,Istanbul,BeÅŸiktaÅŸ,Not Specified,"Ä°stanbul, Ä°stanbul, Turkey",Besiktas,11113983,Nice Decorated Studio in Central,"Please don't change the places of furniture, Read manuals before using electronic devices such as fruit juicer, projector, TV, modem and reciever.",Entire home/apt,633,Townhouse,0,2,Real Bed,1,4,0,1,"24-hour check-in', 'Air conditioning', 'Buzzer/wireless intercom', 'Cable TV', 'Carbon monoxide detector', 'Essentials', 'Family/kid friendly', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Shampoo', 'Smoke detector', 'TV', 'Washer', 'Wifi'",41.04095,29.00425,No,1,1125,30,60,90,365,moderate,211,0,17638280,Enes,"Istanbul, Istanbul Province, Turkey",0,1,1,Not Specified,Not Specified,No,Yes
Turkey,TR,Istanbul,Sultanahmet,Sultanahmet,"Fatih, Ä°stanbul, Turkey",Fatih,11130156,Double Room,no rules,Private room,359,Bed and breakfast,1,2,Real Bed,1,1,0,1,"24-hour check-in', 'Air conditioning', 'Breakfast', 'Elevator', 'Family/kid friendly', 'Free parking on premises', 'Hair dryer', 'Hangers', 'Heating', 'Laptop friendly workspace', 'Shampoo', 'TV', 'Wifi'",41.01001,28.977,Yes,1,1125,30,60,90,365,flexible,0,0,57838569,Bugra,"Istanbul, Ä°stanbul, Turkey",0,1,1,Not Specified,Not Specified,No,No
Turkey,TR,Istanbul,Not Specified,Not Specified,"TR, Turkey",Adalar,11144250,Burgazada da Ã§arÅŸÄ±ya yakÄ±n daire,"Eve ayakkabÄ±yla girilmiyor, dilerseniz kendi terliklerinizi getirebilirsiniz  Tuvalet kaÄŸÄ±tlarÄ±nÄ± Ã§Ã¶p kutusuna atÄ±n lÃ¼tfen, aksi durumda wc tÄ±kanÄ±yor. KÄ±zartma yapÄ±lmamasÄ±nÄ± tercih ederim, bronÅŸ hassaslÄ±ÄŸÄ±m var, kokulardan Ã§ok rahatsÄ±z oluyorum. Kombiyi geceleri kÄ±sabilirseniz harika olur, KÄ±rÄ±lan dÃ¶kÃ¼len (kaza olabilir) olursa lÃ¼tfen ne olduÄŸunu sÃ¶yleyin. Bu benim ve sizden sonrakilerinin kullanÄ±mÄ±nda sorun yaÅŸanmamasÄ± iÃ§in Ã¶nemli.",Entire home/apt,348,Apartment,2,3,Real Bed,1,4,0,1,"24-hour check-in', 'Childrenâ€™s books and toys', 'Essentials', 'Family/kid friendly', 'First aid kit', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Hot water', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Luggage dropoff allowed', 'Shampoo', 'TV', 'Washer'",40.87794,29.06648,No,1,1125,2,32,62,336,flexible,50,94,57921954,Eser,"Istanbul, Ä°stanbul, Turkey",22,1,1,within a day,100,Yes,No
Turkey,TR,Istanbul,ÅžiÅŸli,Not Specified,"ÅžiÅŸli, Ä°stanbul, Turkey",Sisli,11146498,A cosy room for female student,no rules,Private room,90,Apartment,1,1,Real Bed,1,1,0,1,"24-hour check-in', 'Cable TV', 'Dryer', 'Essentials', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Shampoo', 'Smoking allowed', 'TV', 'Washer', 'Wifi'",41.04902,28.98352,No,3,15,30,60,90,365,moderate,60,100,57620332,Buckun,"Istanbul, Ä°stanbul, Turkey",2,1,1,Not Specified,Not Specified,No,No
Turkey,TR,Istanbul,Sultanahmet,Sultanahmet,"Fatih, Ä°stanbul, Turkey",Fatih,11194788,#REF!,no rules,Private room,506,Apartment,1,1,Real Bed,1,2,0,1,"24-hour check-in', 'Air conditioning', 'Breakfast', 'Buzzer/wireless intercom', 'Cable TV', 'Essentials', 'Family/kid friendly', 'Hair dryer', 'Hangers', 'Heating', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Shampoo', 'Smoking allowed', 'Wifi'",41.00404,28.98018,No,1,1125,30,60,90,365,flexible,0,0,3072862,Levent,Turkey,0,5,5,within a day,67,No,No
Turkey,TR,Istanbul,ÅžiÅŸli,Not Specified,"ÅžiÅŸli, Ä°stanbul, Turkey",Sisli,11378656,HAPPY TO HELP YOU,no rules,Private room,227,Apartment,1,1,Real Bed,2,2,0,1,"24-hour check-in', 'Air conditioning', 'Buzzer/wireless intercom', 'Cable TV', 'Carbon monoxide detector', 'Dog(s)', 'Elevator', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'First aid kit', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Lock on bedroom door', 'Pets allowed', 'Pets live on this property', 'Safety card', 'Shampoo', 'Smoke detector', 'Smoking allowed', 'TV', 'Washer', 'Wifi'",41.06018,28.98641,No,1,1125,30,60,90,365,flexible,0,0,59658503,Hakan,"Istanbul, Ä°stanbul, Turkey",0,1,1,Not Specified,Not Specified,No,No
Turkey,TR,Istanbul,ÅžiÅŸli,Not Specified,"Sisli, Ä°stanbul, Turkey",Sisli,11387183,Quiet room in central Istanbul,no rules,Private room,95,Apartment,1,1,Real Bed,1,2,36,1,"24-hour check-in', 'Buzzer/wireless intercom', 'Essentials', 'Family/kid friendly', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Shampoo', 'Smoking allowed', 'Washer', 'Wifi'",41.04768,28.98361,No,1,1125,30,60,90,365,flexible,60,0,59727467,AliÅŸ HÃ¼seyin,TR,0,1,1,Not Specified,Not Specified,No,No
Turkey,TR,Istanbul,Fatih,Sultanahmet,"Fatih, Ä°stanbul, Turkey",Fatih,11409841,Midillis 202 (Double Room),no rules,Private room,148,Apartment,1,1,Real Bed,1,2,0,1,"Air conditioning', 'Bed linens', 'Cable TV', 'Cleaning before checkout', 'Dryer', 'Essentials', 'Free street parking', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Lock on bedroom door', 'Luggage dropoff allowed', 'Pocket wifi', 'Shampoo', 'Smoke detector', 'TV', 'Washer', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50'",41.00359,28.97622,Yes,2,1125,7,30,53,322,flexible,0,98,28689814,Kamuran,"Istanbul, Turkey",24,4,4,within an hour,100,Yes,No
Turkey,TR,Istanbul,KadÄ±kÃ¶y,Not Specified,"Ä°stanbul, Ä°stanbul, Turkey",Kadikoy,11488558,"Cosy flat,walking distance tocenter",no rules,Private room,190,Apartment,1,2,Real Bed,2,2,0,1,"Air conditioning', 'Essentials', 'Free parking on premises', 'Free street parking', 'Hair dryer', 'Heating', 'Host greets you', 'Hot water', 'Internet', 'Kitchen', 'Lock on bedroom door', 'Shampoo', 'TV', 'Washer', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50'",40.98909,29.04503,No,1,1125,28,58,88,363,flexible,0,100,15756802,Aylin,"Istanbul, Turkey",5,1,1,Not Specified,Not Specified,No,No
Turkey,TR,Istanbul,ÅžiÅŸli,Not Specified,"Mecidiyekoy, Ä°stanbul, Turkey",Sisli,11552866,6 min. walk to metro & metrobus,Behave as your parents home,Private room,100,Apartment,1,1,Real Bed,1,1,0,1,"Air conditioning', 'Essentials', 'Free street parking', 'Hair dryer', 'Heating', 'Host greets you', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Lock on bedroom door', 'Shampoo', 'TV', 'Washer', 'Wifi'",41.06422,28.99911,No,7,1125,28,58,88,363,moderate,0,0,50752970,Taner,Not Specified,0,1,1,Not Specified,Not Specified,No,No
Turkey,TR,Istanbul,KadÄ±kÃ¶y,Not Specified,"GÃ¶ztepe, Ä°stanbul, Turkey",Kadikoy,11737940,GÃ¶ztepe Single Room,no rules,Private room,42,Apartment,1,2,Real Bed,1,2,20,1,"Bed linens', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Essentials', 'Ethernet connection', 'Extra pillows and blankets', 'Hair dryer', 'Hangers', 'Heating', 'Hot water', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Luggage dropoff allowed', 'Microwave', 'Pocket wifi', 'Refrigerator', 'Shampoo', 'Smoking allowed', 'Stove', 'Suitable for events', 'Washer', 'Wifi'",40.97602,29.06318,No,1,365,28,58,88,88,flexible,0,0,62441592,BuÄŸra,"Istanbul, Istanbul, Turkey",0,1,1,Not Specified,Not Specified,No,No
Turkey,TR,Istanbul,ÅžiÅŸli,Not Specified,"Istanbul, Ä°stanbul, Turkey",Sisli,11796483,Cozy&clean room in Sisli next to subway,"Check in is available after 6 p.m. and check out is latest 8 a.m during the week. At the weekend it is flexible we can keep in touch and no limitation fir the weekend.  In case you put your mugs into washing machine, you can drink tea, coffee, cola and juices free of charge at home.   If I have jelly or chips at home, Iâ€™ll  leave them in the living room for you to eat for free â˜ºï¸ You should take off your shoes inside the house.  Please leave the house and especially bathroom clean.",Private room,158,Apartment,1,1,Couch,1,2,105,1,"Buzzer/wireless intercom', 'Cable TV', 'Elevator', 'Essentials', 'Fire extinguisher', 'First aid kit', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Private entrance', 'Safety card', 'Shampoo', 'TV', 'Washer', 'Wifi'",41.05766,28.98327,No,1,1125,27,57,87,267,flexible,26,100,27101013,Nur,"ÅžiÅŸli, Istanbul, Turkey",1,1,1,within an hour,100,No,No
Turkey,TR,Istanbul,Taksim,Taksim,"BeyoÄŸlu, Istanbul, Turkey",Beyoglu,1182475,BeyoÄŸlunda Åžirin KullanÄ±ÅŸlÄ± StÃ¼dyo2,no rules,Entire home/apt,90,Apartment,1,1,Real Bed,1,2,0,1,"24-hour check-in', 'Buzzer/wireless intercom', 'Cable TV', 'Dryer', 'Essentials', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Shampoo', 'TV', 'Washer', 'Wifi'",41.03746,28.97483,Yes,1,1125,14,35,65,340,moderate,0,87,4174788,Ä°lknur BÃ¼lent,istanbul,176,9,9,within an hour,92,No,Yes
Turkey,TR,Istanbul,Cihangir,Not Specified,"BeyoÄŸlu, Ä°stanbul, Turkey",Beyoglu,11835516,taksim de lux studyo,no rules,Entire home/apt,269,Apartment,1,1,Real Bed,1,2,0,1,"24-hour check-in', 'Air conditioning', 'Cable TV', 'Essentials', 'Family/kid friendly', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Pets allowed', 'Shampoo', 'Smoking allowed', 'TV', 'Washer', 'Wifi'",41.0344,28.98378,No,1,1125,30,60,90,365,flexible,0,0,55097201,Cemal,TR,0,2,2,within a day,90,No,No
Turkey,TR,Istanbul,ÅžiÅŸli,Not Specified,"ÅžiÅŸli, Ä°stanbul, Turkey",Sisli,12007662,"Very nice location, cozy home!","Actually, there is no more rule.  - We smoked in window. You can enter to home anytime, no problem.",Private room,47,Apartment,1,1,Real Bed,1,2,0,1,"24-hour check-in', 'Essentials', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Shampoo', 'Smoking allowed', 'Washer', 'Wifi'",41.04747,28.97895,No,1,1125,0,0,0,0,flexible,0,0,50922516,Ã‡ayan,"Istanbul, Ä°stanbul, Turkey",0,1,1,Not Specified,Not Specified,No,No
